id,event,timestamp
101,Acad Plan,5/31/10
101,Acad Plan,7/16/10
102,Acad Plan,8/18/10
103,Acad Plan,5/29/10
103,Completion,5/3/12
104,Acad Plan,3/10/10
104,Acad Plan,8/1/10
104,Completion,5/3/12
105,Acad Plan,4/22/10
105,Acad Plan,8/25/11
105,Completion,5/9/13
106,Acad Plan,3/12/10
107,Acad Plan,4/2/10
107,Acad Plan,11/1/10
107,Acad Plan,2/22/11
107,Completion,8/14/12
108,Acad Plan,5/26/10
109,Acad Plan,8/14/10
110,Acad Plan,4/15/10
110,Acad Plan,4/21/10
110,Acad Plan,1/10/12
110,Completion,5/9/13
111,Acad Plan,5/31/10
112,Acad Plan,5/31/10
113,Acad Plan,5/13/10
114,Acad Plan,4/1/10
114,Acad Plan,10/20/10
114,Acad Plan,11/1/11
114,Completion,5/9/13
115,Acad Plan,5/31/10
115,Acad Plan,12/21/11
115,Acad Plan,1/24/12
115,Completion,5/3/12
